idno,psu,stratify,TVTOT,TRSTPLC,VOTE,LRSCALE,STFLIFE,STFECO,STFGOV,HEALTH,GNDR,AGEA,EISCED,DWEIGHT,PSPWGHT,male,agecat,marcat,voted_lastelection,lr3cat
27,107807,Central FO,7,0,2,88,3,0,3,4,1,77,7,0.35,0.5,1,4,2,0,
28,107807,Central FO,7,3,1,88,5,1,3,4,2,63,5,0.35,0.33,0,4,2,1,
29,107807,Central FO,6,1,1,5,8,,5,2,2,51,5,1.38,1.1,0,3,1,1,2
30,107807,Central FO,6,4,1,88,5,0,3,3,1,59,5,0.69,0.69,1,3,1,1,
60,110807,Central FO,0,1,1,5,6,5,7,2,2,31,7,1.12,1.2,0,2,1,1,2
62,110807,Central FO,3,1,1,1,8,0,0,2,1,56,4,1.49,1.48,1,3,1,1,1
67,121807,Central FO,4,3,1,4,7,5,4,2,2,53,5,1.49,1.18,0,3,1,1,1
69,121807,Central FO,3,1,1,3,6,2,2,3,2,45,4,1.12,0.89,0,3,1,1,1
72,102807,Central FO,7,3,1,10,2,2,2,4,1,65,5,0.34,0.34,1,4,2,1,3
74,102807,Central FO,7,1,1,88,1,1,1,3,1,33,4,0.34,0.36,1,2,2,1,
76,102807,Central FO,5,5,1,88,3,1,1,3,2,53,5,0.69,0.55,0,3,2,1,
78,102807,Central FO,6,2,1,3,4,3,3,3,1,52,7,0.69,0.66,1,3,2,1,1
79,101807,Central FO,3,1,1,4,6,3,2,2,2,31,5,0.69,0.64,0,2,3,1,1
80,101807,Central FO,5,0,2,88,7,3,0,2,1,34,7,0.69,0.81,1,2,1,0,
82,102807,Central FO,7,5,1,7,6,4,7,4,1,70,2,0.69,0.95,1,4,1,1,3
86,102807,Central FO,7,2,1,5,7,3,1,3,2,33,2,0.34,0.44,0,2,3,1,2
87,116807,Central FO,7,0,1,0,5,0,0,3,2,67,7,0.37,0.24,0,4,2,1,1
88,116807,Central FO,7,,1,5,6,6,6,3,2,65,7,0.37,0.24,0,4,2,1,2
90,116807,Central FO,7,0,1,10,5,0,0,3,2,65,7,0.74,0.47,0,4,2,1,3
91,116807,Central FO,2,,1,5,7,5,8,4,2,60,7,0.37,0.24,0,4,2,1,2
109,114807,Central FO,4,0,1,4,3,0,0,2,1,34,4,0.74,0.78,1,2,1,1,1
110,114807,Central FO,5,0,2,5,3,3,5,2,1,32,5,0.74,0.78,1,2,1,0,2
111,114807,Central FO,7,0,2,88,3,1,2,3,2,45,7,0.74,0.56,0,3,2,0,
112,114807,Central FO,6,0,1,5,3,3,0,2,2,23,7,0.37,0.4,0,1,2,1,2
113,114807,Central FO,7,0,2,88,6,1,1,2,1,51,2,0.37,0.63,1,3,2,0,
114,114807,Central FO,6,0,1,5,9,0,0,2,1,48,5,0.74,1.01,1,3,2,1,2
115,114807,Central FO,7,0,2,88,0,0,0,3,2,51,7,0.74,0.56,0,3,1,0,
116,109807,Central FO,7,7,1,5,7,8,6,4,2,80,2,0.69,1.21,0,4,2,1,2
117,109807,Central FO,2,4,1,88,8,6,7,2,1,25,5,1.03,1.09,1,1,3,1,
118,109807,Central FO,4,4,1,3,6,6,4,2,1,36,4,0.69,0.94,1,2,1,1,1
119,109807,Central FO,4,2,1,5,3,4,6,3,2,40,5,1.38,1.1,0,2,1,1,2
120,109807,Central FO,6,2,2,88,8,3,4,2,1,27,7,1.03,1.22,1,1,1,0,
121,109807,Central FO,6,3,1,88,7,4,5,3,1,42,5,0.69,0.94,1,2,2,1,
122,109807,Central FO,3,8,1,88,10,7,7,2,2,42,7,1.03,0.78,0,2,1,1,
123,109807,Central FO,6,7,1,88,9,,8,3,2,71,7,0.34,0.22,0,4,2,1,
124,104807,Central FO,6,0,1,5,8,5,1,4,2,52,5,0.96,0.76,0,3,1,1,2
125,116807,Central FO,6,0,1,8,10,2,2,3,2,63,6,1.12,0.71,0,4,2,1,3
126,104807,Central FO,6,1,3,5,7,3,0,2,2,15,1,1.28,1.64,0,1,3,0,2
127,104807,Central FO,6,0,2,5,8,3,1,4,1,47,5,0.96,1.3,1,3,1,0,2
128,104807,Central FO,6,1,2,5,7,9,7,3,1,36,6,0.96,0.91,1,2,1,0,2
129,116807,Central FO,7,0,1,5,8,1,2,3,1,46,6,0.74,0.71,1,3,1,1,2
130,104807,Central FO,6,3,2,88,7,1,1,5,1,65,4,0.32,0.32,1,4,2,0,
131,116807,Central FO,7,2,2,5,9,3,2,2,2,26,5,0.74,0.69,0,1,1,0,2
132,104807,Central FO,7,1,1,10,10,1,1,3,1,56,7,0.64,0.92,1,3,3,1,3
133,116807,Central FO,7,1,1,88,8,2,2,2,1,31,4,0.74,0.78,1,2,3,1,
134,116807,Central FO,6,1,1,88,9,0,0,4,2,76,4,0.37,0.36,0,4,2,1,
135,104807,Central FO,6,0,1,8,7,2,2,3,2,70,7,0.64,0.41,0,4,1,1,3
136,104807,Central FO,7,0,2,88,7,8,8,3,1,56,4,0.32,0.32,1,3,3,0,
137,104807,Central FO,6,1,1,6,8,0,0,3,2,56,5,0.64,0.61,0,3,1,1,3
138,116807,Central FO,7,0,2,7,7,0,3,3,2,41,5,1.86,1.48,0,2,1,0,3
139,104807,Central FO,7,0,2,88,8,8,9,2,2,24,6,0.32,0.34,0,1,3,0,
140,107807,Central FO,6,1,1,88,5,2,,2,1,28,7,1.38,1.63,1,1,3,1,
141,198807,Central FO,3,2,1,88,5,3,3,3,1,50,5,0.93,1.26,1,3,1,1,
142,198807,Central FO,7,6,3,5,7,,5,2,1,17,4,0.93,0.98,1,1,3,0,2
143,198807,Central FO,3,5,,3,10,4,5,2,1,20,4,0.93,0.98,1,1,3,,1
144,199807,Central FO,6,3,1,7,7,4,5,2,1,33,4,0.34,0.35,1,2,2,1,3
145,198807,Central FO,,3,1,10,7,3,4,2,1,25,7,0.62,0.73,1,1,3,1,3
146,107807,Central FO,7,1,1,8,8,2,,3,2,30,7,0.69,0.74,0,2,3,1,3
147,115807,Central FO,7,0,1,88,0,1,1,3,2,32,7,0.37,0.4,0,2,2,1,
148,115807,Central FO,,0,1,88,10,,5,2,1,29,7,1.12,1.32,1,1,3,1,
149,115807,Central FO,5,2,1,6,6,2,3,2,1,28,7,0.74,0.88,1,1,1,1,3
150,115807,Central FO,7,4,1,5,8,7,5,3,2,60,5,0.37,0.36,0,4,2,1,2
151,115807,Central FO,6,1,2,88,7,3,5,2,2,25,7,0.74,0.8,0,1,1,0,
152,107807,Central FO,2,5,3,5,10,7,7,2,1,17,4,1.38,1.46,1,1,3,0,2
153,107807,Central FO,2,5,1,5,5,5,5,3,2,49,7,0.35,0.26,0,3,2,1,2
154,105807,Central FO,2,1,2,5,4,4,4,3,2,53,4,0.64,0.51,0,3,2,0,2
155,105807,Central FO,0,2,1,4,4,2,2,3,2,63,7,0.64,0.41,0,4,2,1,1
156,105807,Central FO,3,6,1,5,9,8,8,2,1,34,7,0.64,0.76,1,2,,1,2
157,105807,Central FO,0,2,2,5,8,4,4,2,2,27,7,0.64,0.69,0,1,3,0,2
158,119807,Central FO,6,1,1,5,4,4,3,3,2,23,7,0.32,0.34,0,1,1,1,2
159,119807,Central FO,0,3,3,9,5,7,5,1,1,18,4,1.28,1.35,1,1,3,0,3
160,119807,Central FO,1,5,2,8,8,7,5,1,2,22,5,1.6,1.48,0,1,1,0,3
161,119807,Central FO,2,5,2,5,8,4,5,2,2,51,7,1.6,1.2,0,3,2,0,2
162,119807,Central FO,3,4,2,5,5,7,,2,2,30,7,0.64,0.69,0,2,3,0,2
163,118807,Central FO,7,5,1,10,8,2,3,3,2,59,7,0.69,0.44,0,3,1,1,3
164,119807,Central FO,0,10,3,5,10,9,9,3,1,16,2,0.64,0.96,1,1,2,0,2
165,113807,Central FO,7,3,2,88,4,,4,3,2,47,5,0.64,0.51,0,3,1,0,
166,113807,Central FO,0,1,1,10,10,5,3,2,2,25,7,0.32,0.35,0,1,3,1,3
167,113807,Central FO,,0,3,10,5,5,2,2,2,18,2,1.28,1.65,0,1,3,0,3
168,113807,Central FO,4,4,1,5,9,7,6,2,1,20,4,0.96,1.01,1,1,3,1,2
169,113807,Central FO,,0,3,5,9,5,1,2,2,17,2,0.96,1.24,0,1,3,0,2
170,113807,Central FO,7,3,2,88,5,0,0,3,2,54,5,1.6,1.28,0,3,2,0,
171,113807,Central FO,2,7,1,5,9,7,8,2,1,48,5,0.64,0.87,1,3,1,1,2
172,113807,Central FO,3,3,3,10,8,3,5,2,1,16,2,0.96,1.45,1,1,3,0,3
173,107807,Central FO,4,0,1,10,4,2,1,3,1,20,5,1.73,1.82,1,1,3,1,3
174,106807,Central FO,3,7,2,88,9,5,4,3,2,19,4,1.12,1.04,0,1,3,0,
175,106807,Central FO,0,2,3,88,9,,5,3,2,18,4,1.12,1.04,0,1,3,0,
176,106807,Central FO,5,5,3,88,10,,5,2,1,17,4,1.12,1.18,1,1,3,0,
177,106807,Central FO,7,3,1,88,9,,3,3,2,19,4,0.74,0.69,0,1,3,1,
178,106807,Central FO,0,7,2,88,8,,3,3,2,25,7,1.49,1.61,0,1,3,0,
179,106807,Central FO,3,6,1,6,8,2,4,3,2,42,7,1.12,0.84,0,2,3,1,3
180,198807,Central FO,,1,3,88,10,,4,3,2,17,2,1.56,2,0,1,3,0,
181,198807,Central FO,4,0,2,88,10,5,5,2,2,23,5,0.62,0.58,0,1,3,0,
182,114807,Central FO,7,,2,88,7,5,5,2,2,23,7,0.74,0.8,0,1,1,0,
183,114807,Central FO,5,0,1,5,6,2,1,2,1,23,4,0.74,0.78,1,1,3,1,2
184,112807,Central FO,0,4,2,5,5,2,1,2,2,46,4,1.12,0.89,0,3,1,0,2
185,112807,Central FO,5,3,1,5,5,2,2,2,2,26,7,0.74,0.8,0,1,1,1,2
186,121807,Central FO,2,5,1,5,10,7,7,2,1,37,7,0.74,0.71,1,2,3,1,2
187,112807,Central FO,6,0,2,10,8,4,0,2,1,40,7,0.74,0.71,1,2,3,0,3
188,112807,Central FO,7,2,1,3,1,0,0,3,2,63,4,0.37,0.36,0,4,2,1,1
189,118807,Central FO,2,1,2,2,8,6,5,1,1,25,7,1.38,1.62,1,1,3,0,1
190,104807,Central FO,2,1,3,5,3,3,2,3,2,50,5,0.96,0.76,0,3,1,0,2
191,119807,Central FO,5,7,1,7,8,8,9,3,1,44,7,0.96,0.91,1,2,1,1,3
192,124807,Central FO,3,6,2,8,7,6,4,2,1,35,7,0.55,0.53,1,2,3,0,3
193,121807,Central FO,2,5,3,5,8,4,4,3,1,,7,0.37,0.37,1,,3,0,2
194,112807,Central FO,5,3,3,5,5,4,5,2,1,15,2,1.49,2.24,1,1,3,0,2
195,101807,Central FO,4,3,1,5,4,3,2,3,1,35,5,0.69,0.94,1,2,1,1,2
196,105807,Central FO,7,0,1,88,3,2,2,3,1,28,5,1.28,1.35,1,1,3,1,
197,105807,Central FO,3,5,1,9,8,0,2,2,1,29,7,1.28,1.51,1,1,3,1,3
198,111807,Central FO,4,5,2,88,3,6,3,3,2,37,5,0.82,0.65,0,2,1,0,
199,112807,Central FO,5,1,3,10,6,4,3,3,1,16,2,1.49,2.24,1,1,3,0,3
200,119807,Central FO,3,3,2,88,5,3,3,3,1,75,7,1.6,2.31,1,4,1,0,
201,103807,Central FO,6,0,1,3,7,0,5,4,2,63,5,0.98,0.94,0,4,1,1,1
202,101807,Central FO,7,5,1,5,8,5,5,2,1,39,5,0.69,0.94,1,2,3,1,2
203,103807,Central FO,7,5,1,88,0,0,3,3,2,70,5,0.98,0.94,0,4,2,1,
204,108807,Central FO,6,3,1,5,3,2,5,4,2,65,5,0.37,0.36,0,4,1,1,2
205,119807,Central FO,3,1,1,3,8,3,2,3,2,22,6,1.28,1.38,0,1,3,1,1
206,103807,Central FO,3,8,1,5,5,5,5,3,1,47,5,0.98,1.33,1,3,1,1,2
207,104807,Central FO,2,0,1,9,10,8,8,2,1,43,4,0.32,0.43,1,2,3,1,3
208,121807,Central FO,0,9,3,5,10,3,5,2,1,15,2,1.86,2.8,1,1,3,0,2
209,112807,Central FO,2,2,2,5,6,3,3,3,2,23,7,1.12,1.2,0,1,3,0,2
210,124807,Central FO,0,2,1,7,7,4,2,3,2,25,7,0.55,0.59,0,1,3,1,3
211,103807,Central FO,4,3,2,4,7,3,3,3,1,36,5,0.65,0.89,1,2,1,0,1
212,119807,Central FO,4,1,1,88,2,0,0,2,1,38,5,0.64,0.87,1,2,1,1,
213,119807,Central FO,0,0,1,7,7,3,7,3,2,28,7,0.32,0.34,0,1,1,1,3
214,118807,Central FO,1,,1,88,3,0,1,4,2,65,7,1.03,0.66,0,4,1,1,
215,108807,Central FO,7,1,1,0,10,10,10,2,1,64,7,0.37,0.54,1,4,2,1,1
216,123807,Central FO,3,0,1,5,7,2,2,4,2,67,5,0.74,0.71,0,4,2,1,2
217,123807,Central FO,7,0,2,5,8,5,4,3,2,35,5,0.74,0.59,0,2,1,0,2
218,123807,Central FO,1,2,2,5,4,1,3,3,2,25,2,0.74,0.96,0,1,3,0,2
219,108807,Central FO,6,7,3,6,6,8,9,2,2,,4,0.37,0.37,0,,3,0,3
220,123807,Central FO,0,0,2,5,8,2,3,2,1,22,6,1.49,1.75,1,1,3,0,2
221,112807,Central FO,1,1,2,5,4,1,1,3,2,53,4,1.12,0.89,0,3,,0,2
222,105807,Central FO,6,1,2,88,8,2,1,4,2,58,7,0.64,0.41,0,3,1,0,
223,108807,Central FO,5,1,3,5,5,3,3,3,2,68,7,1.12,0.71,0,4,2,0,2
224,108807,Central FO,3,2,3,5,5,2,3,3,1,34,5,0.74,0.78,1,2,,0,2
225,105807,Central FO,2,4,2,88,9,4,,2,2,55,5,0.32,0.31,0,3,3,0,
226,105807,Central FO,3,5,1,88,7,4,,2,2,47,7,0.96,0.72,0,3,1,1,
227,111807,Central FO,5,0,1,88,6,0,,3,2,59,5,1.37,1.32,0,3,1,1,
228,111807,Central FO,3,0,1,5,8,1,1,1,1,53,7,0.82,0.79,1,3,1,1,2
229,118807,Central FO,3,5,3,88,5,5,,3,2,40,5,1.03,0.82,0,2,1,0,
230,118807,Central FO,4,1,2,88,7,6,0,2,1,24,4,1.03,1.09,1,1,3,0,
231,118807,Central FO,0,5,1,88,10,7,5,2,2,20,4,1.03,0.96,0,1,3,1,
232,123807,Central FO,2,3,2,5,5,4,7,2,2,27,7,1.12,1.2,0,1,3,0,2
233,108807,Central FO,4,5,3,5,6,6,7,3,2,53,5,0.74,0.59,0,3,2,0,2
234,118807,Central FO,3,0,2,88,10,0,0,1,1,36,5,1.03,1.4,1,2,1,0,
235,118807,Central FO,1,3,1,2,6,3,3,2,1,32,7,0.69,0.81,1,2,2,1,1
236,112807,Central FO,4,3,1,5,5,1,3,2,2,27,5,0.74,0.69,0,1,3,1,2
237,112807,Central FO,2,3,2,7,5,4,3,2,1,37,7,1.12,1.07,1,2,1,0,3
238,103807,Central FO,1,8,,5,10,8,5,3,1,36,5,1.31,1.78,1,2,3,,2
239,120807,Central FO,5,0,1,10,10,0,0,,2,71,7,1.38,0.88,0,4,1,1,3
240,124807,Central FO,4,6,2,5,5,3,4,3,2,33,7,0.83,0.89,0,2,1,0,2
241,117807,Central FO,2,4,2,6,7,6,6,2,2,25,7,0.29,0.32,0,1,3,0,3
242,103807,Central FO,4,2,1,5,10,5,5,2,2,66,7,0.98,0.62,0,4,1,1,2
243,117807,Central FO,4,3,1,7,3,3,5,3,2,64,7,0.59,0.37,0,4,1,1,3
244,111807,Central FO,4,5,1,88,10,1,0,3,2,80,7,1.1,0.7,0,4,2,1,
245,111807,Central FO,6,3,1,1,8,5,5,3,1,67,5,0.55,0.54,1,4,3,1,1
246,101807,Central FO,6,5,1,88,4,2,8,3,2,77,7,0.35,0.22,0,4,,1,
247,124807,Central FO,6,0,1,1,3,1,5,3,1,59,5,0.83,0.82,1,3,1,1,1
248,124807,Central FO,5,0,1,5,7,0,0,4,2,65,7,0.83,0.52,0,4,2,1,2
249,111807,Central FO,6,10,1,88,9,5,10,3,2,53,5,1.1,0.87,0,3,1,1,
250,117807,Central FO,2,1,1,4,3,1,4,2,1,65,7,0.29,0.43,1,4,2,1,1
251,103807,Central FO,6,0,1,88,0,0,0,3,2,69,7,0.98,0.62,0,4,2,1,
252,102807,Central FO,7,0,2,88,5,0,0,3,2,55,7,1.03,0.66,0,3,2,0,
253,120807,Central FO,1,0,2,88,10,3,0,2,2,35,4,0.69,0.55,0,2,1,0,
255,124807,Central FO,3,1,2,10,3,1,0,1,1,40,4,0.83,1.12,1,2,2,0,3
256,120807,Central FO,4,2,1,10,10,,1,4,2,75,5,0.34,0.33,0,4,2,1,3
257,117807,Central FO,1,4,1,5,5,0,4,2,1,57,7,0.88,1.28,1,3,1,1,2
258,117807,Central FO,7,1,1,6,5,3,2,3,2,44,5,0.59,0.47,0,2,2,1,3
259,124807,Central FO,7,0,2,5,5,0,0,3,2,32,6,0.83,0.89,0,2,3,0,2
260,111807,Central FO,2,3,1,88,2,1,,3,2,55,4,1.1,1.05,0,3,1,1,
261,103807,Central FO,7,3,1,3,5,2,10,3,2,62,5,0.98,0.94,0,4,1,1,1
262,111807,Central FO,7,2,1,2,5,0,0,3,1,72,7,1.65,2.38,1,4,1,1,1
263,111807,Central FO,4,0,2,8,5,0,0,2,1,43,7,0.55,0.52,1,2,2,0,3
264,111807,Central FO,7,9,1,88,5,8,9,3,1,72,5,0.55,0.54,1,4,1,1,
265,103807,Central FO,7,7,2,5,5,6,7,2,1,41,5,0.65,0.89,1,2,2,0,2
266,124807,Central FO,3,5,1,5,4,3,5,2,2,39,7,0.55,0.41,0,2,2,1,2
267,111807,Central FO,7,2,1,88,9,4,7,2,1,82,5,0.27,0.27,1,4,2,1,
268,103807,Central FO,6,3,1,6,8,6,6,3,1,73,5,0.65,0.65,1,4,1,1,3
269,124807,Central FO,6,0,1,7,2,1,4,4,2,74,7,0.28,0.17,0,4,3,1,3
270,117807,Central FO,6,5,1,5,7,5,5,3,1,54,5,1.18,1.6,1,3,1,1,2
271,117807,Central FO,5,1,2,7,3,3,4,3,2,31,5,0.59,0.55,0,2,1,0,3
272,117807,Central FO,4,3,2,4,6,5,4,3,2,59,5,0.88,0.85,0,3,2,0,1
273,111807,Central FO,7,,2,88,5,1,1,4,2,55,5,0.55,0.53,0,3,2,0,
274,124807,Central FO,7,1,1,4,7,5,8,4,2,71,5,0.28,0.26,0,4,2,1,1
275,120807,Central FO,4,0,1,88,5,10,10,2,2,55,7,0.69,0.44,0,3,1,1,
276,117807,Central FO,7,1,1,6,5,2,5,3,2,63,7,0.59,0.37,0,4,2,1,3
277,124807,Central FO,4,0,1,5,9,5,0,3,2,35,7,0.55,0.41,0,2,1,1,2
278,120807,Central FO,2,2,1,5,6,0,0,3,2,44,7,1.03,0.78,0,2,1,1,2
279,103807,Central FO,7,3,2,88,3,3,5,2,1,45,7,0.65,0.63,1,3,2,0,
280,102807,Central FO,7,5,1,88,0,1,4,3,2,65,7,1.03,0.66,0,4,3,1,
281,117807,Central FO,3,4,1,5,8,6,3,3,2,33,5,0.29,0.27,0,2,3,1,2
282,120807,Central FO,4,2,1,88,7,5,4,3,1,62,7,0.69,1,1,4,1,1,
283,102807,Central FO,7,1,1,6,10,3,10,3,2,67,7,1.03,0.66,0,4,1,1,3
284,102807,Central FO,3,0,1,5,3,3,2,3,1,57,7,1.38,1.99,1,3,1,1,2
285,124807,Central FO,6,3,2,4,0,3,1,4,2,65,7,0.55,0.35,0,4,1,0,1
286,117807,Central FO,2,2,2,5,8,6,5,1,2,52,5,0.88,0.7,0,3,2,0,2
751,201807,North-Western FO,0,6,2,88,10,7,7,3,2,21,6,0.93,1.12,0,1,1,0,
752,201807,North-Western FO,0,0,2,5,1,5,6,5,2,35,4,0.31,0.28,0,2,3,0,2
755,201807,North-Western FO,6,2,2,5,3,0,0,3,2,47,7,0.93,0.78,0,3,1,0,2
756,201807,North-Western FO,4,5,1,4,6,5,2,3,2,36,5,0.93,0.83,0,2,1,1,1
761,201807,North-Western FO,4,1,2,88,5,5,0,2,1,25,7,0.62,0.82,1,1,1,0,
763,201807,North-Western FO,4,1,2,88,5,5,0,3,1,24,7,0.62,0.82,1,1,3,0,
765,201807,North-Western FO,5,3,1,88,6,6,6,3,2,30,7,0.31,0.37,0,2,2,1,
770,201807,North-Western FO,1,1,1,7,7,3,6,3,1,84,5,0.31,0.35,1,4,2,1,3
771,201807,North-Western FO,6,1,1,3,3,3,3,2,2,20,4,1.24,1.29,0,1,3,1,1
772,201807,North-Western FO,2,0,2,88,4,1,0,3,1,22,7,0.93,1.23,1,1,3,0,
773,201807,North-Western FO,5,0,2,88,2,1,0,3,2,20,4,1.24,1.29,0,1,3,0,
775,202807,North-Western FO,6,5,1,7,7,4,5,3,1,47,7,0.94,1,1,3,1,1,3
776,202807,North-Western FO,6,1,1,6,7,5,3,3,2,38,4,0.63,0.56,0,2,1,1,3
777,202807,North-Western FO,1,1,1,7,8,5,5,4,1,81,5,0.31,0.35,1,4,2,1,3
784,202807,North-Western FO,4,2,1,3,2,5,6,4,1,56,5,0.63,0.7,1,3,3,1,1
790,202807,North-Western FO,6,1,1,7,7,1,2,3,2,44,5,0.63,0.56,0,2,3,1,3
791,202807,North-Western FO,7,1,2,3,4,6,4,4,2,70,5,0.31,0.34,0,4,2,0,1
792,202807,North-Western FO,3,1,1,7,6,6,3,2,1,33,7,0.63,0.83,1,2,1,1,3
795,202807,North-Western FO,4,1,1,6,7,5,2,3,1,55,7,0.63,1.01,1,3,1,1,3
796,202807,North-Western FO,7,0,2,4,3,5,3,4,2,65,4,0.31,0.34,0,4,2,0,1
797,203807,North-Western FO,7,1,1,8,8,5,5,3,2,61,7,0.33,0.23,0,4,2,1,3
798,203807,North-Western FO,4,3,1,6,7,5,3,3,1,27,5,0.66,0.78,1,1,3,1,3
800,203807,North-Western FO,2,1,1,88,5,5,6,3,2,82,5,0.33,0.35,0,4,2,1,
801,203807,North-Western FO,7,0,1,5,8,0,2,2,1,40,5,0.66,1,1,2,1,1,2
803,203807,North-Western FO,2,0,1,8,8,3,4,2,1,28,7,0.66,0.87,1,1,1,1,3
805,203807,North-Western FO,3,4,1,8,7,5,4,3,2,63,5,0.66,0.71,0,4,2,1,3
808,203807,North-Western FO,6,2,1,5,7,2,1,2,1,43,5,0.33,0.5,1,2,2,1,2
813,203807,North-Western FO,4,7,1,2,4,3,2,2,2,34,7,0.33,0.4,0,2,2,1,1
815,203807,North-Western FO,7,4,1,4,5,3,2,3,2,47,7,0.33,0.28,0,3,1,1,1
817,203807,North-Western FO,6,1,1,1,7,3,2,3,1,75,7,0.66,1.07,1,4,1,1,1
820,204807,North-Western FO,3,2,1,7,10,5,6,2,2,19,4,0.88,0.91,0,1,3,1,3
822,204807,North-Western FO,6,3,1,7,9,3,3,2,2,55,5,0.88,0.95,0,3,1,1,3
823,204807,North-Western FO,1,6,1,5,5,5,5,3,2,19,4,0.88,0.91,0,1,3,1,2
830,204807,North-Western FO,2,4,1,7,8,7,5,2,1,27,7,0.59,0.77,1,1,1,1,3
840,204807,North-Western FO,0,2,1,6,7,,3,2,2,19,4,0.88,0.91,0,1,3,1,3
844,205807,North-Western FO,5,0,1,5,7,3,7,2,2,29,7,1.1,1.32,0,1,1,1,2
845,205807,North-Western FO,7,2,1,7,6,5,5,3,2,72,2,0.73,1.43,0,4,1,1,3
846,205807,North-Western FO,3,3,2,5,5,1,1,2,1,23,5,0.73,0.86,1,1,1,0,2
849,205807,North-Western FO,7,2,2,8,5,4,5,3,2,25,5,1.1,1.14,0,1,1,0,3
851,205807,North-Western FO,1,4,1,5,3,3,4,2,2,37,4,0.37,0.33,0,2,1,1,2
853,205807,North-Western FO,1,0,1,88,5,3,4,3,1,80,5,0.37,0.41,1,4,2,1,
855,205807,North-Western FO,5,1,1,1,3,5,6,4,2,66,7,0.37,0.26,0,4,2,1,1
858,205807,North-Western FO,3,7,1,1,6,5,5,3,2,61,7,0.73,0.52,0,4,2,1,1
861,205807,North-Western FO,7,0,1,2,8,5,5,3,2,76,2,0.37,0.72,0,4,2,1,1
862,205807,North-Western FO,7,5,1,5,3,5,7,5,2,86,4,0.37,0.39,0,4,2,1,2
863,205807,North-Western FO,7,,1,5,10,5,6,4,2,74,2,0.37,0.72,0,4,2,1,2
864,205807,North-Western FO,4,0,1,5,8,5,6,2,2,48,5,1.1,0.98,0,3,1,1,2
871,206807,North-Western FO,3,1,1,1,5,1,5,4,2,54,7,0.61,0.52,0,3,1,1,1
872,206807,North-Western FO,5,3,1,88,6,4,5,3,2,49,7,0.61,0.52,0,3,1,1,
873,206807,North-Western FO,3,4,2,6,6,5,4,2,2,54,5,0.61,0.55,0,3,2,0,3
875,206807,North-Western FO,,2,,88,7,3,5,3,2,46,7,0.92,0.78,0,3,1,,
881,206807,North-Western FO,4,2,1,88,6,1,3,3,1,52,7,0.61,0.66,1,3,1,1,
885,206807,North-Western FO,3,4,2,6,5,5,4,3,2,55,5,0.92,0.99,0,3,3,0,3
887,206807,North-Western FO,6,4,1,88,5,,6,3,2,55,7,1.23,0.87,0,3,1,1,
888,206807,North-Western FO,4,0,1,88,6,3,3,3,2,47,5,0.61,0.55,0,3,1,1,
889,207807,North-Western FO,4,3,1,7,9,6,5,1,2,20,4,1.31,1.37,0,1,3,1,3
896,207807,North-Western FO,3,3,2,88,6,4,2,2,1,28,7,0.66,0.87,1,1,1,0,
901,207807,North-Western FO,3,3,1,6,7,6,6,2,2,26,7,0.66,0.79,0,1,3,1,3
902,207807,North-Western FO,5,5,2,5,8,7,6,2,2,36,6,0.99,0.83,0,2,1,0,2
903,207807,North-Western FO,5,4,1,88,4,3,3,2,2,46,7,0.99,0.83,0,3,2,1,
